country,sr,pop15,pop75,dpi,ddpi,saving_ratio
Australia,11.43,29.35,2.87,2329.68,2.87,0.00490625321932626
Austria,12.07,23.32,4.41,1507.99,3.93,0.008004031856975178
Belgium,13.17,23.8,4.43,2108.47,3.82,0.006246235421893601
Bolivia,5.75,41.89,1.67,189.13,0.22,0.030402368741077566
Brazil,12.88,42.19,0.83,728.47,4.56,0.01768089283017832
Canada,8.79,31.72,2.85,2982.88,2.43,0.002946816499490425
Chile,0.6,39.74,1.34,662.86,2.67,9.051685122046887e-4
China,11.9,44.75,0.67,289.52,6.51,0.04110251450676983
Colombia,4.98,46.64,1.06,276.65,3.08,0.018001084402674863
Costa Rica,10.78,47.64,1.14,471.24,2.8,0.02287581699346405
Denmark,16.85,24.42,3.93,2496.53,3.99,0.006749368122954661
Ecuador,3.59,46.31,1.19,287.77,2.19,0.012475240643569517
Finland,11.24,27.84,2.37,1681.25,4.32,0.00668550185873606
France,12.64,25.06,4.7,2213.82,4.52,0.005709587952046688
Germany,12.55,23.31,3.35,2457.12,3.44,0.005107605652145602
Greece,10.67,25.62,3.1,870.85,6.28,0.01225239708330941
Guatamala,3.01,46.05,0.87,289.71,1.48,0.010389700044872458
Honduras,7.7,47.32,0.58,232.44,3.19,0.033126828428841855
Iceland,1.27,34.03,3.08,1900.1,1.12,6.683858744276618e-4
India,9,41.31,0.96,88.94,1.54,0.10119181470654375
Ireland,11.34,31.16,4.19,1139.95,2.99,0.009947804728277556
Italy,14.28,24.52,3.48,1390,3.54,0.010273381294964029
Japan,21.1,27.01,1.91,1257.28,8.21,0.01678226011707814
Korea,3.98,41.74,0.91,207.68,5.81,0.019164098613251156
Luxembourg,10.35,21.8,3.73,2449.39,1.57,0.004225541869608352
Malta,15.48,32.54,2.47,601.05,8.12,0.02575492887446968
Norway,10.25,25.95,3.67,2231.03,3.62,0.00459429052948638
Netherlands,14.65,24.71,3.25,1740.7,7.66,0.008416154420635376
New Zealand,10.67,32.61,3.17,1487.52,1.76,0.007173012799827901
Nicaragua,7.3,45.04,1.21,325.54,2.48,0.02242427965841371
Panama,4.44,43.56,1.2,568.56,3.61,0.007809202195018997
Paraguay,2.02,41.18,1.05,220.56,1.03,0.009158505622052957
Peru,12.7,44.19,1.28,400.06,0.67,0.031745238214267855
Philippines,12.78,46.26,1.12,152.01,2,0.08407341622261694
Portugal,12.49,28.96,2.85,579.51,7.48,0.021552691066590742
South Africa,11.14,31.94,2.28,651.11,2.19,0.017109244213727327
South Rhodesia,13.3,31.92,1.52,250.96,2,0.05299649346509404
Spain,11.77,27.74,2.87,768.79,4.35,0.015309772499642296
Sweden,6.86,21.44,4.54,3299.49,3.01,0.0020791091956635726
Switzerland,14.13,23.49,3.73,2630.96,2.7,0.0053706631799799315
Turkey,5.13,43.42,1.08,389.66,2.96,0.01316532361545963
Tunisia,2.81,46.12,1.21,249.87,1.13,0.011245847840877257
United Kingdom,7.81,23.27,4.46,1813.93,2.01,0.004305568572105869
United States,7.56,29.81,3.43,4001.89,2.45,0.0018891073967550332
Venezuela,9.22,46.4,0.9,813.39,0.53,0.011335275820946903
Zambia,18.56,45.25,0.56,138.33,5.14,0.1341719077568134
Jamaica,7.72,41.12,1.73,380.47,10.23,0.020290693090125368
Uruguay,9.24,28.13,2.72,766.54,1.88,0.012054165470816919
Libya,8.89,43.69,2.07,123.58,16.71,0.0719372066677456
Malaysia,4.71,47.2,0.66,242.69,5.08,0.019407474556017965
