uf,codigo,rendimento_mensal_domiciliar
Acre,12,888
Alagoas,27,777
Amapá,16,855
Amazonas,13,800
Bahia,29,843
Ceará,23,881
Distrito Federal,53,2513
Espírito Santo,32,1295
Goiás,52,1276
Maranhão,21,635
Mato Grosso,51,1362
Mato Grosso do Sul,50,1471
Minas Gerais,31,1325
Pará,15,847
Paraíba,25,876
Paraná,41,1541
Pernambuco,26,829
Piauí,22,837
Rio de Janeiro,33,1724
Rio Grande do Norte,24,1109
Rio Grande do Sul,43,1787
Rondônia,11,1023
Roraima,14,1046
Santa Catarina,42,1718
São Paulo,35,1836
Sergipe,28,929
Tocantins,17,1028
